league,season,team,player,goals_p90,assists_p90,selection,goal_assist_p90,team_success
ESP-La Liga,2526,Sevilla,Neal Maupay,0.21,0.1,FRA,0.31,14
ESP-La Liga,2526,Sevilla,Nemanja Gudelj,0.08,0.0,SRB,0.08,41
ESP-La Liga,2526,Sevilla,Odysseas Vlachodimos,0.0,0.0,GRE,0.0,52
ESP-La Liga,2526,Sevilla,Peque,0.18,0.09,ESP,0.27,15
ESP-La Liga,2526,Sevilla,Ruben Vargas,0.17,0.34,SUI,0.51,27
ESP-La Liga,2526,Sevilla,Tanguy Nianzou,0.0,0.0,FRA,0.0,16
ESP-La Liga,2526,Valencia,Arnaut Danjuma,0.17,0.11,NED,0.28,28
ESP-La Liga,2526,Valencia,Baptiste Santamaria,0.12,0.12,FRA,0.24,17
ESP-La Liga,2526,Valencia,Copete,0.0,0.0,ESP,0.0,32
ESP-La Liga,2526,Valencia,César Tárrega,0.0,0.0,ESP,0.0,41
ESP-La Liga,2526,Valencia,Diego López,0.2,0.05,ESP,0.26,30
ESP-La Liga,2526,Valencia,Dimitri Foulquier,0.0,0.0,FRA,0.0,21
ESP-La Liga,2526,Valencia,Domingos André Ribeiro Almeida,0.0,0.18,POR,0.18,14
ESP-La Liga,2526,Valencia,Eray Cömert,0.13,0.07,SUI,0.2,21
ESP-La Liga,2526,Valencia,Filip Ugrinic,0.0,0.18,SUI,0.18,24
ESP-La Liga,2526,Valencia,Guido Rodríguez,0.28,0.0,ARG,0.28,19
ESP-La Liga,2526,Valencia,Hugo Duro,0.45,0.0,ESP,0.45,34
ESP-La Liga,2526,Valencia,Javier Guerra,0.17,0.26,ESP,0.44,31
ESP-La Liga,2526,Valencia,Jesus Vazquez,0.0,0.0,ESP,0.0,18
ESP-La Liga,2526,Valencia,José Luis García Vayá,0.08,0.0,ESP,0.08,34
ESP-La Liga,2526,Valencia,José Luis Gayà,0.04,0.07,ESP,0.11,37
ESP-La Liga,2526,Valencia,Julen Agirrezabala,0.0,0.0,ESP,0.0,30
ESP-La Liga,2526,Valencia,Largie Ramazani,0.44,0.07,BEL,0.51,20
ESP-La Liga,2526,Valencia,Lucas Beltrán,0.07,0.13,ARG,0.2,21
ESP-La Liga,2526,Valencia,Luis Rioja,0.1,0.21,ESP,0.31,38
ESP-La Liga,2526,Valencia,Mouctar Diakhaby,0.17,0.0,GUI,0.17,11
ESP-La Liga,2526,Valencia,Stole Dimitrievski,0.0,0.0,MKD,0.0,25
ESP-La Liga,2526,Valencia,Thierry Correia,0.0,0.13,POR,0.13,24
ESP-La Liga,2526,Valencia,Umar Sadiq,0.4,0.2,NGA,0.59,14
ESP-La Liga,2526,Valencia,Unai Núñez,0.0,0.0,ESP,0.0,12
ESP-La Liga,2526,Villarreal,Alberto Moleiro,0.36,0.18,ESP,0.54,31
ESP-La Liga,2526,Villarreal,Alfonso Pedraza,0.05,0.16,ESP,0.21,24
ESP-La Liga,2526,Villarreal,Arnau Tenas,0.0,0.0,ESP,0.0,16
ESP-La Liga,2526,Villarreal,Ayoze Pérez,0.4,0.32,ESP,0.72,20
ESP-La Liga,2526,Villarreal,Daniel Parejo,0.06,0.0,ESP,0.06,24
ESP-La Liga,2526,Villarreal,Georges Mikautadze,0.55,0.26,GEO,0.81,30
ESP-La Liga,2526,Villarreal,Gerard Moreno,0.67,0.0,ESP,0.67,16
ESP-La Liga,2526,Villarreal,Juan Foyth,0.0,0.0,ARG,0.0,9
ESP-La Liga,2526,Villarreal,Luiz Lúcio Reis Júnior,0.0,0.0,BRA,0.0,30
ESP-La Liga,2526,Villarreal,Nicolas Pépé,0.3,0.3,CIV,0.6,35
ESP-La Liga,2526,Villarreal,Pape Gueye,0.21,0.08,SEN,0.3,28
ESP-La Liga,2526,Villarreal,Pau Navarro,0.0,0.0,ESP,0.0,26
ESP-La Liga,2526,Villarreal,Rafa Marín,0.05,0.0,ESP,0.05,26
ESP-La Liga,2526,Villarreal,Renato Veiga,0.0,0.0,POR,0.0,37
ESP-La Liga,2526,Villarreal,Santi Comesaña,0.11,0.22,ESP,0.34,29
ESP-La Liga,2526,Villarreal,Santiago Mouriño,0.04,0.08,URU,0.11,31
ESP-La Liga,2526,Villarreal,Sergi Cardona,0.05,0.18,ESP,0.23,26
ESP-La Liga,2526,Villarreal,Tajon Buchanan,0.35,0.05,CAN,0.4,18
ESP-La Liga,2526,Villarreal,Tani Oluwaseyi,0.2,0.2,CAN,0.4,15
ESP-La Liga,2526,Villarreal,Thomas Partey,0.0,0.0,GHA,0.0,13
FRA-Ligue 1,2526,Angers,Amine Sbai,0.15,0.05,MAR,0.2,26
FRA-Ligue 1,2526,Angers,Branco van den Boomen,0.0,0.07,NED,0.07,21
FRA-Ligue 1,2526,Angers,Carlens Arcus,0.0,0.13,HAI,0.13,27
FRA-Ligue 1,2526,Angers,Florent Hanin,0.0,0.0,ALG,0.0,14
FRA-Ligue 1,2526,Angers,Goduine Koyalipou,0.27,0.13,CTA,0.4,7
FRA-Ligue 1,2526,Angers,Haris Belkebla,0.0,0.0,ALG,0.0,47
FRA-Ligue 1,2526,Angers,Hervé Koffi,0.0,0.0,BFA,0.0,36
FRA-Ligue 1,2526,Angers,Himad Abdelli,0.19,0.0,ALG,0.19,13
FRA-Ligue 1,2526,Angers,Jacques Ekomie,0.0,0.0,GAB,0.0,35
FRA-Ligue 1,2526,Angers,Jordan Lefort,0.0,0.06,MTN,0.06,48
FRA-Ligue 1,2526,Angers,Lanroy Machine,0.17,0.0,FRA,0.17,7
FRA-Ligue 1,2526,Angers,Lilian Raolisoa,0.09,0.18,FRA,0.27,31
FRA-Ligue 1,2526,Angers,Louis Mouton,0.1,0.05,FRA,0.14,28
FRA-Ligue 1,2526,Angers,Marius Louer,0.0,0.0,FRA,0.0,13
FRA-Ligue 1,2526,Angers,Ousmane Camara,0.03,0.0,MLI,0.03,38
FRA-Ligue 1,2526,Angers,Pierrick Capelle,0.0,0.14,FRA,0.14,10
FRA-Ligue 1,2526,Angers,Prosper Peter,0.35,0.0,NGA,0.35,28
FRA-Ligue 1,2526,Angers,Sidiki Cherif,0.31,0.0,FRA,0.31,16
FRA-Ligue 1,2526,Angers,Yassin Belkhdim,0.08,0.08,FRA,0.17,32
FRA-Ligue 1,2526,Auxerre,Bryan Okoh,0.27,0.0,SUI,0.27,15
FRA-Ligue 1,2526,Auxerre,Clément Akpa,0.0,0.0,CIV,0.0,29
FRA-Ligue 1,2526,Auxerre,Danny Loader,0.11,0.11,CMR,0.21,36
FRA-Ligue 1,2526,Auxerre,Donovan Léon,0.0,0.0,GUF,0.0,35
FRA-Ligue 1,2526,Auxerre,Elisha Owusu,0.0,0.0,GHA,0.0,31
FRA-Ligue 1,2526,Auxerre,Francisco Sierralta,0.1,0.0,CHI,0.1,15
FRA-Ligue 1,2526,Auxerre,Fredrik Oppegard,0.0,0.0,NOR,0.0,19
FRA-Ligue 1,2526,Auxerre,Gideon Mensah,0.0,0.08,GHA,0.08,28
FRA-Ligue 1,2526,Auxerre,Ibrahim Osman,0.0,0.29,GHA,0.29,11
FRA-Ligue 1,2526,Auxerre,Josué Casimir,0.06,0.0,HAI,0.06,25
FRA-Ligue 1,2526,Auxerre,Kévin Danois,0.1,0.03,FRA,0.13,39
FRA-Ligue 1,2526,Auxerre,Lamine Sy,0.0,0.0,MTN,0.0,21
FRA-Ligue 1,2526,Auxerre,Lassine Sinayoko,0.39,0.13,MLI,0.52,37
FRA-Ligue 1,2526,Auxerre,Marvin Senaya,0.05,0.0,GHA,0.05,28
FRA-Ligue 1,2526,Auxerre,Naouirou Ahamada,0.0,0.13,FRA,0.13,7
FRA-Ligue 1,2526,Auxerre,Oussama El Azzouzi,0.11,0.0,MAR,0.11,11
FRA-Ligue 1,2526,Auxerre,Romain Faivre,0.0,0.31,FRA,0.31,7
FRA-Ligue 1,2526,Auxerre,Rudy Matondo,0.0,0.0,FRA,0.0,8
FRA-Ligue 1,2526,Auxerre,Sekou Mara,0.22,0.15,FRA,0.37,17
FRA-Ligue 1,2526,Auxerre,Sinaly Diomande,0.08,0.08,CIV,0.17,29
FRA-Ligue 1,2526,Auxerre,Théo De Percin,0.0,0.0,MTQ,0.0,9
FRA-Ligue 1,2526,Brest,Bradley Locko,0.0,0.14,FRA,0.14,23
FRA-Ligue 1,2526,Brest,Brendan Chardonnet,0.04,0.11,FRA,0.14,43
FRA-Ligue 1,2526,Brest,Daouda Guindo,0.05,0.05,MLI,0.11,26
FRA-Ligue 1,2526,Brest,Grégoire Coudert,0.0,0.0,FRA,0.0,40
FRA-Ligue 1,2526,Brest,Hugo Magnetti,0.03,0.03,FRA,0.07,46
FRA-Ligue 1,2526,Brest,Joris Chotard,0.06,0.03,FRA,0.1,47
FRA-Ligue 1,2526,Brest,Junior Diaz,0.0,0.0,CIV,0.0,24
FRA-Ligue 1,2526,Brest,Junior Dina Ebimbe,0.39,0.0,CMR,0.39,21
FRA-Ligue 1,2526,Brest,Kamory Doumbia,0.26,0.21,MLI,0.46,25
FRA-Ligue 1,2526,Brest,Kenny Lala,0.0,0.1,MAD,0.1,52
FRA-Ligue 1,2526,Brest,Lucas Tousart,0.11,0.0,FRA,0.11,17
FRA-Ligue 1,2526,Brest,Ludovic Ajorque,0.26,0.29,FRA,0.54,49
FRA-Ligue 1,2526,Brest,Mama Samba Baldé,0.25,0.25,GNB,0.5,18
FRA-Ligue 1,2526,Brest,Pathé Mboup,0.09,0.0,SEN,0.09,18
FRA-Ligue 1,2526,Brest,Radosław Majecki,0.0,0.0,POL,0.0,15
FRA-Ligue 1,2526,Brest,Romain Del Castillo,0.31,0.1,FRA,0.41,44
FRA-Ligue 1,2526,Brest,Rémy Labeau Lascary,0.37,0.07,GLP,0.45,21
FRA-Ligue 1,2526,Brest,Soumaïla Coulibaly,0.0,0.0,FRA,0.0,28
FRA-Ligue 1,2526,Le Havre,Abdoulaye Touré,0.24,0.0,GUI,0.24,8
FRA-Ligue 1,2526,Le Havre,Arouna Sangante,0.04,0.04,SEN,0.08,33
FRA-Ligue 1,2526,Le Havre,Ayumu Seko,0.0,0.0,JPN,0.0,38
FRA-Ligue 1,2526,Le Havre,Felix Mambimbi,0.17,0.0,SUI,0.17,8
FRA-Ligue 1,2526,Le Havre,Fodé Doucouré,0.22,0.07,MLI,0.29,19
FRA-Ligue 1,2526,Le Havre,Gautier Lloris,0.04,0.04,FRA,0.08,31
FRA-Ligue 1,2526,Le Havre,Issa Soumaré,0.24,0.15,SEN,0.4,43
FRA-Ligue 1,2526,Le Havre,Loïc Nego,0.0,0.0,HUN,0.0,34
FRA-Ligue 1,2526,Le Havre,Lucas Gourna-Douath,0.0,0.0,FRA,0.0,18
FRA-Ligue 1,2526,Le Havre,Mbwana Samatta,0.12,0.06,TAN,0.18,21
FRA-Ligue 1,2526,Le Havre,Mory Diaw,0.0,0.03,SEN,0.03,41
FRA-Ligue 1,2526,Le Havre,Rassoul Ndiaye,0.14,0.14,SEN,0.28,32
FRA-Ligue 1,2526,Le Havre,Simon Ebonog,0.05,0.0,CMR,0.05,31
FRA-Ligue 1,2526,Le Havre,Sofiane Boufal,0.09,0.35,MAR,0.44,16
FRA-Ligue 1,2526,Le Havre,Stephan Zagadou,0.18,0.0,FRA,0.18,5
FRA-Ligue 1,2526,Le Havre,Yanis Zouaoui,0.04,0.04,ALG,0.08,37
FRA-Ligue 1,2526,Le Havre,Yassine Kechta,0.14,0.07,MAR,0.2,22
FRA-Ligue 1,2526,Lens,Abdallah Sima,0.25,0.25,SEN,0.5,11
FRA-Ligue 1,2526,Lens,Adrien Thomasson,0.1,0.3,FRA,0.4,33
FRA-Ligue 1,2526,Lens,Andrija Bulatović,0.0,0.47,MNE,0.47,8
FRA-Ligue 1,2526,Lens,Florian Sotoca,0.18,0.0,FRA,0.18,8
FRA-Ligue 1,2526,Lens,Florian Thauvin,0.41,0.22,FRA,0.63,27
FRA-Ligue 1,2526,Lens,Ismaëlo Ganiou,0.13,0.0,FRA,0.13,25
FRA-Ligue 1,2526,Lens,Jonathan Gradit,0.0,0.0,FRA,0.0,8
FRA-Ligue 1,2526,Lens,Malang Sarr,0.0,0.03,FRA,0.03,33
FRA-Ligue 1,2526,Lens,Mamadou Sangare,0.12,0.15,MLI,0.27,29
FRA-Ligue 1,2526,Lens,Matthieu Udol,0.03,0.21,FRA,0.24,35
FRA-Ligue 1,2526,Lens,Morgan Guilavogui,0.18,0.0,GUI,0.18,5
FRA-Ligue 1,2526,Lens,Nidal Celik,0.0,0.0,BIH,0.0,9
FRA-Ligue 1,2526,Lens,Odsonne Édouard,0.6,0.15,FRA,0.75,19
FRA-Ligue 1,2526,Lens,Rayan Fofana,0.56,0.0,FRA,0.56,8
FRA-Ligue 1,2526,Lens,Robin Risser,0.0,0.03,FRA,0.03,35
FRA-Ligue 1,2526,Lens,Ruben Aguilar,0.1,0.1,FRA,0.21,21
FRA-Ligue 1,2526,Lens,Samson Baidoo,0.1,0.05,AUT,0.15,14
FRA-Ligue 1,2526,Lens,Saud Abdulhamid,0.13,0.27,KSA,0.4,17
FRA-Ligue 1,2526,Lens,Wesley Saïd,0.54,0.09,FRA,0.63,21
FRA-Ligue 1,2526,Lille,Alexsandro Ribeiro,0.0,0.0,BRA,0.0,5
FRA-Ligue 1,2526,Lille,Ayyoub Bouaddi,0.0,0.04,MAR,0.04,26
FRA-Ligue 1,2526,Lille,Aïssa Mandi,0.04,0.0,ALG,0.04,28
FRA-Ligue 1,2526,Lille,Benjamin André,0.08,0.08,FRA,0.15,20
FRA-Ligue 1,2526,Lille,Berke Özer,0.0,0.03,TUR,0.03,34
FRA-Ligue 1,2526,Lille,Calvin Verdonk,0.0,0.0,IDN,0.0,10
FRA-Ligue 1,2526,Lille,Chancel Mbemba,0.0,0.0,COD,0.0,15
FRA-Ligue 1,2526,Lille,Ethan Mbappé,0.48,0.16,FRA,0.63,10
FRA-Ligue 1,2526,Lille,Félix Correia,0.18,0.22,POR,0.39,22
FRA-Ligue 1,2526,Lille,Hákon Haraldsson,0.29,0.07,ISL,0.37,26
FRA-Ligue 1,2526,Lille,Matias Fernandez-Pardo,0.3,0.19,BEL,0.49,26
FRA-Ligue 1,2526,Lille,Nabil Bentaleb,0.14,0.14,ALG,0.28,19
FRA-Ligue 1,2526,Lille,Nathan Ngoy,0.04,0.07,BEL,0.11,31
FRA-Ligue 1,2526,Lille,Ngal'Ayel Mukau,0.06,0.0,COD,0.06,21
FRA-Ligue 1,2526,Lille,Olivier Giroud,0.39,0.06,FRA,0.45,25
FRA-Ligue 1,2526,Lille,Osame Sahraoui,0.18,0.36,MAR,0.53,6
FRA-Ligue 1,2526,Lille,Romain Perraud,0.12,0.16,FRA,0.28,26
FRA-Ligue 1,2526,Lille,Thomas Meunier,0.09,0.09,BEL,0.19,19
FRA-Ligue 1,2526,Lille,Tiago Santos,0.0,0.0,POR,0.0,8
FRA-Ligue 1,2526,Lorient,Abdoulaye Faye,0.0,0.0,SEN,0.0,31
FRA-Ligue 1,2526,Lorient,Arsène Kouassi,0.07,0.21,BFA,0.28,41
FRA-Ligue 1,2526,Lorient,Arthur Avom,0.08,0.04,CMR,0.13,31
FRA-Ligue 1,2526,Lorient,Bamba Dieng,0.74,0.07,SEN,0.82,15
FRA-Ligue 1,2526,Lorient,Bamo Meïté,0.0,0.14,CIV,0.14,29
FRA-Ligue 1,2526,Lorient,Darlin Yongwa,0.0,0.07,CMR,0.07,20
FRA-Ligue 1,2526,Lorient,Dermane Karim,0.07,0.13,TOG,0.2,25
FRA-Ligue 1,2526,Lorient,Igor Carioca,0.07,0.0,BRA,0.07,24
FRA-Ligue 1,2526,Lorient,Jean-Victor Makengo,0.2,0.1,FRA,0.3,26
FRA-Ligue 1,2526,Lorient,Joel Mvuka,0.0,0.0,NOR,0.0,18
FRA-Ligue 1,2526,Lorient,Laurent Abergel,0.04,0.0,FRA,0.04,41
FRA-Ligue 1,2526,Lorient,Mohamed Bamba,0.13,0.26,CIV,0.4,16
FRA-Ligue 1,2526,Lorient,Montassar Talbi,0.0,0.03,TUN,0.03,44
FRA-Ligue 1,2526,Lorient,Nathaniel Adjei,0.0,0.0,GHA,0.0,13
FRA-Ligue 1,2526,Lorient,Noah Cadiou,0.14,0.05,GLP,0.19,33
FRA-Ligue 1,2526,Lorient,Pablo Pagis,0.51,0.26,FRA,0.77,29
FRA-Ligue 1,2526,Lorient,Panos Katseris,0.12,0.24,GRE,0.36,9
FRA-Ligue 1,2526,Lorient,Sambou Soumano,0.38,0.19,SEN,0.57,17
FRA-Ligue 1,2526,Lorient,Théo Le Bris,0.1,0.1,FRA,0.19,26
FRA-Ligue 1,2526,Lorient,Tosin Aiyegun,0.42,0.0,BEN,0.42,16
FRA-Ligue 1,2526,Lorient,Yvon Mvogo,0.0,0.0,SUI,0.0,43
FRA-Ligue 1,2526,Lyon,Abner,0.13,0.08,BRA,0.21,25
FRA-Ligue 1,2526,Lyon,Adam Karabec,0.1,0.0,CZE,0.1,8
FRA-Ligue 1,2526,Lyon,Afonso Moreira,0.21,0.37,POR,0.57,23
FRA-Ligue 1,2526,Lyon,Ainsley Maitland-Niles,0.04,0.14,ENG,0.18,35
FRA-Ligue 1,2526,Lyon,Clinton Mata,0.0,0.0,ANG,0.0,40
FRA-Ligue 1,2526,Lyon,Corentin Tolisso,0.43,0.16,FRA,0.59,32
FRA-Ligue 1,2526,Lyon,Dominik Greif,0.0,0.03,SVK,0.03,37
FRA-Ligue 1,2526,Lyon,Endrick,0.37,0.52,BRA,0.89,20
FRA-Ligue 1,2526,Lyon,Hans Hateboer,0.0,0.0,NED,0.0,9
FRA-Ligue 1,2526,Lyon,Khalis Merah,0.0,0.08,FRA,0.08,11
FRA-Ligue 1,2526,Lyon,Malick Fofana,0.24,0.12,BEL,0.36,7
FRA-Ligue 1,2526,Lyon,Martin Satriano,0.26,0.13,URU,0.39,9
FRA-Ligue 1,2526,Lyon,Moussa Niakhate,0.0,0.07,SEN,0.07,34
FRA-Ligue 1,2526,Lyon,Nicolás Tagliafico,0.0,0.21,ARG,0.21,15
FRA-Ligue 1,2526,Lyon,Noah Nartey,0.33,0.0,DEN,0.33,7
FRA-Ligue 1,2526,Lyon,Pavel Šulc,0.63,0.17,CZE,0.8,22
FRA-Ligue 1,2526,Lyon,Roman Yaremchuk,0.64,0.16,UKR,0.8,9
FRA-Ligue 1,2526,Lyon,Ruben Kluivert,0.12,0.23,NED,0.35,19
FRA-Ligue 1,2526,Lyon,Tanner Tessmann,0.05,0.0,USA,0.05,21
FRA-Ligue 1,2526,Lyon,Tyler Morton,0.07,0.07,ENG,0.14,30
FRA-Ligue 1,2526,Marseille,Amine Gouiri,0.54,0.2,ALG,0.75,22
FRA-Ligue 1,2526,Marseille,Angel Gomes,0.3,0.0,ENG,0.3,9
FRA-Ligue 1,2526,Marseille,Arthur Vermeeren,0.0,0.11,BEL,0.11,14
FRA-Ligue 1,2526,Marseille,Benjamin Pavard,0.05,0.09,FRA,0.14,24
FRA-Ligue 1,2526,Marseille,Bilal Nadir,0.0,0.6,MAR,0.6,5
FRA-Ligue 1,2526,Marseille,CJ Egan-Riley,0.0,0.0,ENG,0.0,9
FRA-Ligue 1,2526,Marseille,Emerson Palmieri,0.0,0.13,ITA,0.13,30
FRA-Ligue 1,2526,Marseille,Facundo Medina,0.0,0.07,ARG,0.07,23
FRA-Ligue 1,2526,Marseille,Geoffrey Kondogbia,0.0,0.0,CTA,0.0,6
FRA-Ligue 1,2526,Marseille,Gerónimo Rulli,0.0,0.0,ARG,0.0,35
FRA-Ligue 1,2526,Marseille,Hamed Junior Traorè,0.29,0.15,CIV,0.44,12
FRA-Ligue 1,2526,Marseille,Igor Paixão,0.27,0.23,BRA,0.5,28
FRA-Ligue 1,2526,Marseille,Leonardo Balerdi,0.0,0.04,ARG,0.04,33
FRA-Ligue 1,2526,Marseille,Mason Greenwood,0.58,0.26,ENG,0.84,36
FRA-Ligue 1,2526,Marseille,Matt O'Riley,0.12,0.24,DEN,0.36,9
FRA-Ligue 1,2526,Marseille,Michael Amir Murillo,0.18,0.09,PAN,0.27,13
FRA-Ligue 1,2526,Marseille,Nayef Aguerd,0.06,0.0,MAR,0.06,17
FRA-Ligue 1,2526,Marseille,Pierre Højbjerg,0.13,0.17,DEN,0.3,40
FRA-Ligue 1,2526,Marseille,Pierre-Emerick Aubameyang,0.44,0.22,GAB,0.66,26
FRA-Ligue 1,2526,Marseille,Quinten Timber,0.0,0.0,NED,0.0,16
FRA-Ligue 1,2526,Marseille,Timothy Weah,0.08,0.08,USA,0.16,34
FRA-Ligue 1,2526,Metz,Alpha Touré,0.0,0.06,SEN,0.06,37
FRA-Ligue 1,2526,Metz,Benjamin Stambouli,0.0,0.0,FRA,0.0,26
FRA-Ligue 1,2526,Metz,Boubacar Traoré,0.06,0.0,MLI,0.06,32
FRA-Ligue 1,2526,Metz,Bouna Sarr,0.0,0.0,SEN,0.0,22
FRA-Ligue 1,2526,Metz,Cheikh Tidiane Sabaly,0.0,0.19,SEN,0.19,24
FRA-Ligue 1,2526,Metz,Fodé Ballo-Touré,0.0,0.0,SEN,0.0,22
FRA-Ligue 1,2526,Metz,Gauthier Hein,0.31,0.27,FRA,0.57,62
FRA-Ligue 1,2526,Metz,Giorgi Abuashvili,0.26,0.0,GEO,0.26,20
FRA-Ligue 1,2526,Metz,Giorgi Kvilitaia,0.36,0.0,GEO,0.36,14
FRA-Ligue 1,2526,Metz,Habib Diallo,0.19,0.05,SEN,0.24,49
FRA-Ligue 1,2526,Metz,Heorhii Tsitaishvili,0.11,0.07,GEO,0.18,59
FRA-Ligue 1,2526,Metz,Ibou Sané,0.17,0.17,SEN,0.33,11
FRA-Ligue 1,2526,Metz,Jean-Philippe Gbamin,0.04,0.04,CIV,0.07,63
FRA-Ligue 1,2526,Metz,Jessy Deminguet,0.09,0.0,FRA,0.09,47
FRA-Ligue 1,2526,Metz,Jonathan Fischer,0.0,0.0,DEN,0.0,56
FRA-Ligue 1,2526,Metz,Koffi Kouao,0.08,0.04,CIV,0.12,48
FRA-Ligue 1,2526,Metz,Maxime Colin,0.0,0.0,FRA,0.0,39
FRA-Ligue 1,2526,Metz,Michel Mboula,0.0,0.0,GAB,0.0,14
FRA-Ligue 1,2526,Metz,Pape Mamadou Sy,0.0,0.0,SEN,0.0,20
FRA-Ligue 1,2526,Metz,Sadibou Sané,0.09,0.05,SEN,0.14,48
FRA-Ligue 1,2526,Metz,Terry Yegbe,0.0,0.05,GHA,0.05,51
FRA-Ligue 1,2526,Monaco,Aladji Bamba,0.0,0.22,FRA,0.22,17
FRA-Ligue 1,2526,Monaco,Aleksandr Golovin,0.27,0.27,RUS,0.55,19
FRA-Ligue 1,2526,Monaco,Ansu Fati,0.91,0.0,ESP,0.91,23
FRA-Ligue 1,2526,Monaco,Caio Henrique Oliveira Silva,0.0,0.12,BRA,0.12,24
FRA-Ligue 1,2526,Monaco,Christian Mawissa,0.0,0.0,FRA,0.0,22
FRA-Ligue 1,2526,Monaco,Denis Zakaria,0.09,0.04,SUI,0.13,32
FRA-Ligue 1,2526,Monaco,Eric Dier,0.13,0.0,ENG,0.13,15
FRA-Ligue 1,2526,Monaco,Folarin Balogun,0.52,0.16,USA,0.69,36
FRA-Ligue 1,2526,Monaco,Jordan Teze,0.04,0.07,NED,0.11,44
FRA-Ligue 1,2526,Monaco,Kassoum Ouattara,0.0,0.28,FRA,0.28,20
FRA-Ligue 1,2526,Monaco,Krépin Diatta,0.0,0.09,SEN,0.09,17
FRA-Ligue 1,2526,Monaco,Lamine Camara,0.15,0.19,SEN,0.34,27
FRA-Ligue 1,2526,Monaco,Lukáš Hrádecký,0.0,0.0,FIN,0.0,27
FRA-Ligue 1,2526,Monaco,Maghnes Akliouche,0.23,0.23,FRA,0.45,38
FRA-Ligue 1,2526,Monaco,Mamadou Coulibaly,0.2,0.2,FRA,0.39,30
FRA-Ligue 1,2526,Monaco,Mika Biereth,0.17,0.17,DEN,0.34,23
FRA-Ligue 1,2526,Monaco,Mohammed Salisu,0.08,0.0,GHA,0.08,21
FRA-Ligue 1,2526,Monaco,Philipp Köhn,0.0,0.0,SUI,0.0,27
FRA-Ligue 1,2526,Monaco,Simon Adingra,0.32,0.21,CIV,0.53,15
FRA-Ligue 1,2526,Monaco,Takumi Minamino,0.29,0.19,JPN,0.48,14
FRA-Ligue 1,2526,Monaco,Thilo Kehrer,0.0,0.0,GER,0.0,35
FRA-Ligue 1,2526,Monaco,Vanderson,0.0,0.29,BRA,0.29,11
FRA-Ligue 1,2526,Monaco,Wout Faes,0.0,0.0,BEL,0.0,23
FRA-Ligue 1,2526,Nantes,Ali Yousuf,0.0,0.0,LBY,0.0,15
FRA-Ligue 1,2526,Nantes,Anthony Lopes,0.0,0.0,POR,0.0,51
FRA-Ligue 1,2526,Nantes,Bahereba Guirassy,0.22,0.11,FRA,0.33,11
FRA-Ligue 1,2526,Nantes,Chidozie Awaziem,0.04,0.08,NGA,0.12,40
FRA-Ligue 1,2526,Nantes,Dehmaine Assoumani,0.07,0.0,FRA,0.07,19
FRA-Ligue 1,2526,Nantes,Deiver Machado,0.0,0.1,COL,0.1,13
FRA-Ligue 1,2526,Nantes,Fabien Centonze,0.37,0.0,FRA,0.37,13
FRA-Ligue 1,2526,Nantes,Francis Coquelin,0.0,0.14,FRA,0.14,6
FRA-Ligue 1,2526,Nantes,Frederic Guilbert,0.0,0.0,FRA,0.0,6
FRA-Ligue 1,2526,Nantes,Ibrahima Sissoko,0.0,0.0,MLI,0.0,16
FRA-Ligue 1,2526,Nantes,Ignatius Ganago,0.29,0.1,CMR,0.39,7
FRA-Ligue 1,2526,Nantes,Johann Lepenant,0.0,0.04,FRA,0.04,33
FRA-Ligue 1,2526,Nantes,Junior Mwanga,0.07,0.07,FRA,0.14,27
FRA-Ligue 1,2526,Nantes,Kelvin Amian,0.0,0.05,FRA,0.05,40
FRA-Ligue 1,2526,Nantes,Kwon Hyeokkyu,0.0,0.0,KOR,0.0,14
FRA-Ligue 1,2526,Nantes,Louis Leroux,0.06,0.06,FRA,0.12,24
FRA-Ligue 1,2526,Nantes,Matthis Abline,0.21,0.14,FRA,0.35,49
FRA-Ligue 1,2526,Nantes,Mohamed Kaba,0.0,0.18,GUI,0.18,10
FRA-Ligue 1,2526,Nantes,Mostafa Mohamed,0.31,0.0,EGY,0.31,24
FRA-Ligue 1,2526,Nantes,Nicolas Cozza,0.0,0.04,FRA,0.04,36
FRA-Ligue 1,2526,Nantes,Rémy Cabella,0.27,0.0,FRA,0.27,14
FRA-Ligue 1,2526,Nantes,Tylel Tati,0.0,0.0,FRA,0.0,37
FRA-Ligue 1,2526,Nantes,Yassine Benhattab,0.0,0.0,FRA,0.0,9
FRA-Ligue 1,2526,Nantes,Youssef El-Arabi,0.29,0.0,MAR,0.29,14
FRA-Ligue 1,2526,Nice,Abdulai Juma Bah,0.0,0.0,SLE,0.0,42
FRA-Ligue 1,2526,Nice,Ali Abdi,0.23,0.0,TUN,0.23,17
FRA-Ligue 1,2526,Nice,Antoine Mendy,0.04,0.0,SEN,0.04,38
FRA-Ligue 1,2526,Nice,Charles Vanhoutte,0.0,0.1,BEL,0.1,33
FRA-Ligue 1,2526,Nice,Dante,0.0,0.11,BRA,0.11,13
FRA-Ligue 1,2526,Nice,Elye Wahi,0.49,0.1,CIV,0.59,15
FRA-Ligue 1,2526,Nice,Hicham Boudaoui,0.05,0.11,ALG,0.16,33
FRA-Ligue 1,2526,Nice,Isak Jansson,0.14,0.0,SWE,0.14,12
FRA-Ligue 1,2526,Nice,Jeremie Boga,0.28,0.28,CIV,0.56,14
FRA-Ligue 1,2526,Nice,Jonathan Clauss,0.04,0.21,FRA,0.25,54
