league,season,team,player,goals_p90,assists_p90,selection,ga
ITA-Serie A,2526,Pisa,Ebenezer Akinsanmiro,0.0,0.06,NGA,0.062326869806094184
ITA-Serie A,2526,Pisa,Felipe Loyola,0.17,0.0,CHI,0.16728624535315986
ITA-Serie A,2526,Pisa,Filip Stojilković,0.0,0.0,SUI,0.0
ITA-Serie A,2526,Pisa,Francesco Coppola,0.0,0.0,ITA,0.0
ITA-Serie A,2526,Pisa,Gabriele Piccinini,0.0,0.0,ITA,0.0
ITA-Serie A,2526,Pisa,Giovanni Bonfanti,0.0,0.0,ITA,0.0
ITA-Serie A,2526,Pisa,Henrik Meister,0.12,0.0,DEN,0.11881188118811882
ITA-Serie A,2526,Pisa,Idrissa Touré,0.04,0.0,GER,0.03949100482667837
ITA-Serie A,2526,Pisa,Juan Cuadrado,0.18,0.0,COL,0.17786561264822134
ITA-Serie A,2526,Pisa,M'Bala Nzola,0.26,0.0,ANG,0.2566539923954373
ITA-Serie A,2526,Pisa,Malthe Hojholt,0.0,0.0,DEN,0.0
ITA-Serie A,2526,Pisa,Marius Marin,0.0,0.0,ROU,0.0
ITA-Serie A,2526,Pisa,Mattéo Tramoni,0.11,0.11,FRA,0.22499999999999998
ITA-Serie A,2526,Pisa,Mehdi Léris,0.09,0.14,ALG,0.2368421052631579
ITA-Serie A,2526,Pisa,Michel Aebischer,0.03,0.06,SUI,0.09336099585062241
ITA-Serie A,2526,Pisa,Nícolas Andrade,0.0,0.0,BRA,0.0
ITA-Serie A,2526,Pisa,Raúl Albiol,0.0,0.18,ESP,0.18
ITA-Serie A,2526,Pisa,Rosen Bozhinov,0.0,0.0,BUL,0.0
ITA-Serie A,2526,Pisa,Samuele Angori,0.0,0.07,ITA,0.06925740669488265
ITA-Serie A,2526,Pisa,Simone Canestrelli,0.03,0.0,ITA,0.02811621368322399
ITA-Serie A,2526,Pisa,Simone Scuffet,0.0,0.0,ITA,0.0
ITA-Serie A,2526,Pisa,Stefano Moreo,0.27,0.04,ITA,0.31209362808842656
ITA-Serie A,2526,Pisa,İsak Vural,0.0,0.0,TUR,0.0
ITA-Serie A,2526,Roma,Bryan Cristante,0.06,0.03,ITA,0.08726567550096961
ITA-Serie A,2526,Roma,Daniele Ghilardi,0.0,0.0,ITA,0.0
ITA-Serie A,2526,Roma,Devyne Rensch,0.08,0.3,NED,0.3800675675675676
ITA-Serie A,2526,Roma,Donyell Malen,0.86,0.12,NED,0.9815950920245399
ITA-Serie A,2526,Roma,Evan Ferguson,0.35,0.23,IRL,0.5821474773609314
ITA-Serie A,2526,Roma,Gianluca Mancini,0.12,0.06,ITA,0.17652827721477607
ITA-Serie A,2526,Roma,Jan Ziółkowski,0.0,0.0,POL,0.0
ITA-Serie A,2526,Roma,Kostas Tsimikas,0.0,0.0,GRE,0.0
ITA-Serie A,2526,Roma,Lorenzo Pellegrini,0.25,0.12,ITA,0.3691045796308954
ITA-Serie A,2526,Roma,Manu Koné,0.07,0.11,FRA,0.18322475570032573
ITA-Serie A,2526,Roma,Mario Hermoso,0.13,0.09,ESP,0.2158273381294964
ITA-Serie A,2526,Roma,Matìas Soulé,0.25,0.21,ARG,0.4628330995792427
ITA-Serie A,2526,Roma,Mile Svilar,0.0,0.0,SRB,0.0
ITA-Serie A,2526,Roma,Neil El Aynaoui,0.09,0.18,MAR,0.2702702702702703
ITA-Serie A,2526,Roma,Niccolò Pisilli,0.14,0.28,ITA,0.416988416988417
ITA-Serie A,2526,Roma,Obite N'Dicka,0.1,0.0,CIV,0.10074626865671642
ITA-Serie A,2526,Roma,Paulo Dybala,0.13,0.4,ARG,0.5317577548005908
ITA-Serie A,2526,Roma,Stephan El Shaarawy,0.14,0.27,ITA,0.4054054054054054
ITA-Serie A,2526,Roma,Wesley,0.18,0.0,BRA,0.18382352941176472
ITA-Serie A,2526,Roma,Zeki Çelik,0.03,0.07,TUR,0.09915534337128167
ITA-Serie A,2526,Sassuolo,Alieu Fadera,0.18,0.09,GAM,0.2735562310030395
ITA-Serie A,2526,Sassuolo,Andrea Pinamonti,0.32,0.11,ITA,0.42319749216300945
ITA-Serie A,2526,Sassuolo,Arijanet Muric,0.0,0.0,KVX,0.0
ITA-Serie A,2526,Sassuolo,Armand Lauriente,0.24,0.31,FRA,0.5555555555555556
ITA-Serie A,2526,Sassuolo,Aster Vranckx,0.0,0.0,BEL,0.0
ITA-Serie A,2526,Sassuolo,Cristian Volpato,0.17,0.34,ITA,0.5075187969924811
ITA-Serie A,2526,Sassuolo,Domenico Berardi,0.37,0.18,ITA,0.5515832482124616
ITA-Serie A,2526,Sassuolo,Fali Candé,0.0,0.0,GNB,0.0
ITA-Serie A,2526,Sassuolo,Ismaël Koné,0.2,0.0,CAN,0.19729630982827914
ITA-Serie A,2526,Sassuolo,Jay Idzes,0.0,0.0,IDN,0.0
ITA-Serie A,2526,Sassuolo,Josh Doig,0.0,0.0,SCO,0.0
ITA-Serie A,2526,Sassuolo,Kristian Thorstvedt,0.15,0.15,NOR,0.29268292682926833
ITA-Serie A,2526,Sassuolo,Luca Lipani,0.0,0.09,ITA,0.08704061895551257
ITA-Serie A,2526,Sassuolo,M'Bala Nzola,0.19,0.19,ANG,0.38054968287526425
ITA-Serie A,2526,Sassuolo,Nemanja Matić,0.03,0.03,SRB,0.06766917293233082
ITA-Serie A,2526,Sassuolo,Sebastian Walukiewicz,0.0,0.03,POL,0.03155680224403927
ITA-Serie A,2526,Sassuolo,Stefano Turati,0.0,0.0,ITA,0.0
ITA-Serie A,2526,Sassuolo,Tarik Muharemovic,0.06,0.06,BIH,0.12698412698412698
ITA-Serie A,2526,Sassuolo,Ulisses Garcia,0.1,0.19,SUI,0.2863202545068929
ITA-Serie A,2526,Sassuolo,Woyo Coulibaly,0.0,0.0,MLI,0.0
ITA-Serie A,2526,Torino,Adrien Tameze,0.0,0.0,CMR,0.0
ITA-Serie A,2526,Torino,Alberto Paleari,0.0,0.0,ITA,0.0
ITA-Serie A,2526,Torino,Ardian Ismajli,0.0,0.05,ALB,0.0472193074501574
ITA-Serie A,2526,Torino,Cesare Casadei,0.27,0.0,ITA,0.2704056084126189
ITA-Serie A,2526,Torino,Che Adams,0.29,0.1,SCO,0.38034865293185416
ITA-Serie A,2526,Torino,Cristiano Biraghi,0.0,0.0,ITA,0.0
ITA-Serie A,2526,Torino,Cyril Ngonge,0.09,0.09,BEL,0.18108651911468812
ITA-Serie A,2526,Torino,Duván Zapata,0.24,0.08,COL,0.3263825929283771
ITA-Serie A,2526,Torino,Emirhan İlkhan,0.09,0.18,TUR,0.26973026973026976
ITA-Serie A,2526,Torino,Enzo Ebosse,0.0,0.08,CMR,0.08071748878923767
ITA-Serie A,2526,Torino,Franco Israel,0.0,0.0,URU,0.0
ITA-Serie A,2526,Torino,Giovanni Simeone,0.44,0.0,ARG,0.4439461883408072
ITA-Serie A,2526,Torino,Guillermo Maripán,0.08,0.0,CHI,0.08391608391608392
ITA-Serie A,2526,Torino,Gvidas Gineitis,0.0,0.05,LTU,0.05125284738041002
ITA-Serie A,2526,Torino,Kristjan Asllani,0.0,0.0,ALB,0.0
ITA-Serie A,2526,Torino,Luca Marianucci,0.0,0.0,ITA,0.0
ITA-Serie A,2526,Torino,Marcus Pedersen,0.04,0.08,NOR,0.12652296157450796
ITA-Serie A,2526,Torino,Matteo Prati,0.0,0.15,ITA,0.1465798045602606
ITA-Serie A,2526,Torino,Nikola Vlašić,0.24,0.09,CRO,0.325336838646073
ITA-Serie A,2526,Torino,Rafel Obrador,0.08,0.24,ESP,0.3225806451612903
ITA-Serie A,2526,Torino,Saúl Coco,0.03,0.03,EQG,0.05829015544041451
ITA-Serie A,2526,Torino,Valentino Lazaro,0.0,0.08,AUT,0.07992895204262877
ITA-Serie A,2526,Torino,Zakaria Aboukhlal,0.0,0.0,MAR,0.0
ITA-Serie A,2526,Udinese,Adam Buksa,0.29,0.0,POL,0.2928416485900217
ITA-Serie A,2526,Udinese,Alessandro Zanoli,0.07,0.14,ITA,0.2109375
ITA-Serie A,2526,Udinese,Arthur Atta,0.18,0.11,FRA,0.28157997653500194
ITA-Serie A,2526,Udinese,Christian Kabasele,0.12,0.0,BEL,0.12016021361815755
ITA-Serie A,2526,Udinese,Hassane Kamara,0.0,0.1,CIV,0.09672219236969372
ITA-Serie A,2526,Udinese,Jakub Piotrowski,0.05,0.05,POL,0.1061320754716981
ITA-Serie A,2526,Udinese,Jesper Karlström,0.03,0.0,SWE,0.028607755880483154
ITA-Serie A,2526,Udinese,Jordan Zemura,0.0,0.08,ZIM,0.07985803016858918
ITA-Serie A,2526,Udinese,Jurgen Ekkelenkamp,0.21,0.12,NED,0.32936870997255263
ITA-Serie A,2526,Udinese,Keinan Davis,0.44,0.17,ENG,0.6101694915254238
ITA-Serie A,2526,Udinese,Kingsley Ehizibue,0.1,0.0,NED,0.09939260077305355
ITA-Serie A,2526,Udinese,Lennon Miller,0.0,0.18,SCO,0.18072289156626506
ITA-Serie A,2526,Udinese,Maduka Okoye,0.0,0.0,NGA,0.0
ITA-Serie A,2526,Udinese,Nicolò Bertola,0.0,0.05,ITA,0.05104934770277936
ITA-Serie A,2526,Udinese,Nicolò Zaniolo,0.2,0.24,ITA,0.4386353566681435
ITA-Serie A,2526,Udinese,Oier Zarraga,0.0,0.0,ESP,0.0
ITA-Serie A,2526,Udinese,Oumar Solet,0.09,0.03,FRA,0.12166272389320716
ITA-Serie A,2526,Udinese,Razvan Sava,0.0,0.0,ROU,0.0
ITA-Serie A,2526,Udinese,Thomas Kristensen,0.11,0.0,DEN,0.1092233009708738
ITA-Serie A,2526,Udinese,Vakoun Bayo,0.0,0.4,CIV,0.3973509933774835
,2526,Augsburg,Alexis Claude-Maurice,0.21,0.17,FRA,0.38626609442060084
,2526,Augsburg,Anton Kade,0.31,0.0,GER,0.3098106712564544
,2526,Augsburg,Arthur Chaves,0.22,0.0,BRA,0.21712907117008445
,2526,Augsburg,Cedric Zesiger,0.0,0.0,SUI,0.0
,2526,Augsburg,Chrislain Matsima,0.06,0.06,FRA,0.12088650100738751
,2526,Augsburg,Dimitris Giannoulis,0.1,0.24,GRE,0.3336864406779661
,2526,Augsburg,Elias Saad,0.0,0.0,TUN,0.0
,2526,Augsburg,Elvis Rexhbeçaj,0.16,0.0,KVX,0.16100178890876565
,2526,Augsburg,Fabian Rieder,0.23,0.12,SUI,0.34571062740076824
,2526,Augsburg,Finn Dahmen,0.0,0.0,GER,0.0
,2526,Augsburg,Han-Noah Massengo,0.07,0.04,FRA,0.11124845488257108
,2526,Augsburg,Jeffrey Gouweleeuw,0.0,0.11,NED,0.1061320754716981
,2526,Augsburg,Keven Schlotterbeck,0.0,0.04,GER,0.04431314623338257
,2526,Augsburg,Kristijan Jakić,0.11,0.05,CRO,0.16333938294010888
,2526,Augsburg,Marius Wolf,0.09,0.09,GER,0.17664376840039253
,2526,Augsburg,Mert Kömür,0.12,0.25,GER,0.36885245901639346
,2526,Augsburg,Michael Gregoritsch,0.59,0.2,AUT,0.7886089813800657
,2526,Augsburg,Noahkai Banks,0.05,0.05,USA,0.10434782608695652
,2526,Augsburg,Robin Fellhauer,0.1,0.06,GER,0.1607717041800643
,2526,Augsburg,Rodrigo Ribeiro,0.28,0.0,POR,0.2830188679245283
,2526,Bayern Munich,Aleksandar Pavlovic,0.18,0.06,GER,0.24623803009575926
,2526,Bayern Munich,Alphonso Davies,0.17,0.51,CAN,0.6857142857142857
,2526,Bayern Munich,Dayot Upamecano,0.05,0.05,FRA,0.10033444816053512
,2526,Bayern Munich,Harry Kane,1.36,0.19,ENG,1.5523769457299117
,2526,Bayern Munich,Hiroki Ito,0.1,0.2,JPN,0.29347826086956524
,2526,Bayern Munich,Jamal Musiala,0.4,0.53,GER,0.9224011713030748
,2526,Bayern Munich,Jonas Urbig,0.0,0.0,GER,0.0
,2526,Bayern Munich,Jonathan Tah,0.09,0.04,GER,0.1337958374628345
,2526,Bayern Munich,Joshua Kimmich,0.08,0.32,GER,0.39473684210526316
,2526,Bayern Munich,Josip Stanišić,0.1,0.15,CRO,0.24232633279483037
,2526,Bayern Munich,Kim Min-jae,0.06,0.06,KOR,0.11235955056179775
,2526,Bayern Munich,Konrad Laimer,0.14,0.41,AUT,0.5416248746238717
,2526,Bayern Munich,Lennart Karl,0.35,0.35,GER,0.702576112412178
,2526,Bayern Munich,Leon Goretzka,0.23,0.14,GER,0.3697996918335901
,2526,Bayern Munich,Luis Díaz,0.55,0.51,COL,1.06661217817736
,2526,Bayern Munich,Manuel Neuer,0.0,0.0,GER,0.0
,2526,Bayern Munich,Michael Olise,0.58,0.74,FRA,1.3212435233160622
,2526,Bayern Munich,Nicolas Jackson,0.71,0.09,SEN,0.804369414101291
,2526,Bayern Munich,Raphaël Guerreiro,0.57,0.23,POR,0.8035714285714286
,2526,Bayern Munich,Sacha Boey,0.0,0.0,FRA,0.0
,2526,Bayern Munich,Serge Gnabry,0.59,0.44,GER,1.03363412633306
,2526,Bayern Munich,Tom Bischof,0.21,0.21,GER,0.4147465437788018
,2526,Dortmund,Carney Chukwuemeka,0.2,0.0,AUT,0.19586507072905332
,2526,Dortmund,Daniel Svensson,0.07,0.07,SWE,0.1466992665036675
,2526,Dortmund,Emre Can,0.43,0.0,GER,0.43478260869565216
,2526,Dortmund,Felix Nmecha,0.08,0.12,GER,0.2068014705882353
,2526,Dortmund,Fábio Silva,0.22,0.66,POR,0.8812729498164015
,2526,Dortmund,Gregor Kobel,0.0,0.0,SUI,0.0
,2526,Dortmund,Jobe Bellingham,0.0,0.05,ENG,0.05039193729003359
,2526,Dortmund,Julian Brandt,0.39,0.22,GER,0.6164383561643836
,2526,Dortmund,Julian Ryerson,0.0,0.6,NOR,0.5957634598411298
,2526,Dortmund,Karim Adeyemi,0.53,0.3,GER,0.8284518828451882
,2526,Dortmund,Luca Reggiani,0.18,0.0,ITA,0.1761252446183953
,2526,Dortmund,Marcel Sabitzer,0.05,0.1,AUT,0.14859658778205834
,2526,Dortmund,Maximilian Beier,0.4,0.27,GER,0.6663376110562684
,2526,Dortmund,Nico Schlotterbeck,0.18,0.04,GER,0.21428571428571427
,2526,Dortmund,Niklas Süle,0.0,0.19,GER,0.18518518518518517
,2526,Dortmund,Pascal Groß,0.0,0.15,GER,0.1468189233278956
,2526,Dortmund,Ramy Bensebaini,0.29,0.12,ALG,0.4117647058823529
,2526,Dortmund,Serhou Guirassy,0.65,0.04,GUI,0.693196405648267
,2526,Dortmund,Waldemar Anton,0.06,0.0,GER,0.0625
,2526,Dortmund,Yan Couto,0.18,0.18,BRA,0.36108324974924777
,2526,Eintracht Frankfurt,Ansgar Knauff,0.27,0.07,GER,0.3393665158371041
,2526,Eintracht Frankfurt,Arnaud Kalimuendo,0.38,0.06,FRA,0.4446012702893437
,2526,Eintracht Frankfurt,Arthur Theate,0.04,0.0,BEL,0.04203643157403083
,2526,Eintracht Frankfurt,Aurele Amenda,0.0,0.0,SUI,0.0
,2526,Eintracht Frankfurt,Ayoube Amaimouni,0.31,0.46,MAR,0.7679180887372014
,2526,Eintracht Frankfurt,Can Uzun,0.62,0.31,TUR,0.9342560553633218
,2526,Eintracht Frankfurt,Ellyes Skhiri,0.0,0.0,TUN,0.0
,2526,Eintracht Frankfurt,Fares Chaïbi,0.1,0.45,ALG,0.5524553571428571
,2526,Eintracht Frankfurt,Hugo Larsson,0.1,0.1,SWE,0.19867549668874174
,2526,Eintracht Frankfurt,Jean Mattéo Bahoya,0.2,0.27,FRA,0.47332832456799395
,2526,Eintracht Frankfurt,Jonathan Burkardt,0.88,0.07,GER,0.9431137724550898
,2526,Eintracht Frankfurt,Kauã Santos,0.0,0.0,BRA,0.0
,2526,Eintracht Frankfurt,Mahmoud Dahoud,0.25,0.38,GER,0.6284916201117319
,2526,Eintracht Frankfurt,Mario Götze,0.0,0.0,GER,0.0
,2526,Eintracht Frankfurt,Michael Zetterer,0.0,0.0,GER,0.0
,2526,Eintracht Frankfurt,Nathaniel Brown,0.14,0.14,GER,0.2710843373493976
,2526,Eintracht Frankfurt,Nnamdi Collins,0.06,0.12,GER,0.18
,2526,Eintracht Frankfurt,Oscar Højlund,0.08,0.08,DEN,0.1652892561983471
,2526,Eintracht Frankfurt,Rasmus Kristensen,0.12,0.0,DEN,0.11703511053315994
,2526,Eintracht Frankfurt,Ritsu Doan,0.19,0.19,JPN,0.3807106598984772
,2526,Eintracht Frankfurt,Robin Koch,0.1,0.03,GER,0.12707377338510412
,2526,Freiburg,Anthony Jung,0.0,0.0,GER,0.0
,2526,Freiburg,Christian Günter,0.0,0.17,GER,0.17453135100193923
,2526,Freiburg,Derry Scherhant,0.35,0.07,GER,0.415065334358186
,2526,Freiburg,Ifechukwu Ogbus,0.0,0.0,SUI,0.0
,2526,Freiburg,Igor Matanovic,0.63,0.11,CRO,0.7447485677912158
,2526,Freiburg,Jan-Niklas Beste,0.11,0.11,GER,0.2112676056338028
,2526,Freiburg,Johan Manzambi,0.22,0.17,SUI,0.38998555609051516
,2526,Freiburg,Jordy Makengo,0.0,0.08,FRA,0.07640067911714771
,2526,Freiburg,Lucas Höler,0.13,0.04,GER,0.17673048600883653
,2526,Freiburg,Lukas Kübler,0.11,0.11,GER,0.22684310018903592
,2526,Freiburg,Matthias Ginter,0.1,0.1,GER,0.1906106600776562
,2526,Freiburg,Max Rosenfelder,0.0,0.0,GER,0.0
,2526,Freiburg,Maximilian Eggestein,0.09,0.03,GER,0.11764705882352941
,2526,Freiburg,Noah Atubolu,0.0,0.0,GER,0.0
,2526,Freiburg,Patrick Osterhage,0.08,0.0,GER,0.07569386038687974
,2526,Freiburg,Philipp Lienhart,0.07,0.0,AUT,0.06912442396313365
,2526,Freiburg,Philipp Treu,0.04,0.08,GER,0.12351326623970724
,2526,Freiburg,Vincenzo Grifo,0.37,0.21,ITA,0.5789473684210527
,2526,Freiburg,Yuito Suzuki,0.22,0.11,JPN,0.33088235294117646
,2526,Gladbach,Castrop Jens,0.17,0.06,KOR,0.22727272727272727
,2526,Gladbach,Fabio Chiarodia,0.0,0.0,ITA,0.0
,2526,Gladbach,Florian Neuhaus,0.0,0.1,GER,0.0967741935483871
,2526,Gladbach,Franck Honorat,0.09,0.27,FRA,0.3641881638846738
,2526,Gladbach,Gio Reyna,0.17,0.0,USA,0.17307692307692307
,2526,Gladbach,Haris Tabakovic,0.49,0.11,BIH,0.6045340050377834
,2526,Gladbach,Hugo Bolin,0.16,0.16,SWE,0.32727272727272727
,2526,Gladbach,Joe Scally,0.07,0.1,USA,0.17254601226993865
,2526,Gladbach,Kevin Diks,0.18,0.0,IDN,0.18262987012987014
,2526,Gladbach,Kevin Stöger,0.07,0.07,AUT,0.13595166163141995
,2526,Gladbach,Luca Netz,0.0,0.19,GER,0.19148936170212766
,2526,Gladbach,Lukas Ullrich,0.0,0.0,GER,0.0
,2526,Gladbach,Moritz Nicolas,0.0,0.0,GER,0.0
,2526,Gladbach,Nico Elvedi,0.0,0.06,SUI,0.060687795010114634
,2526,Gladbach,Philipp Sander,0.07,0.0,GER,0.07361963190184048
,2526,Gladbach,Rocco Reitz,0.0,0.14,GER,0.13703844689760183
,2526,Gladbach,Shuto Machino,0.25,0.08,JPN,0.3345724907063197
,2526,Gladbach,Wael Mohya,0.33,0.16,GER,0.48913043478260865
,2526,Gladbach,Yannik Engelhardt,0.07,0.07,GER,0.14475271411338964
,2526,Hamburger SV,Albert Grønbaek,0.18,0.37,DEN,0.5487804878048781
,2526,Hamburger SV,Albert Sambi Lokonga,0.26,0.0,BEL,0.2631578947368421
,2526,Hamburger SV,Bakery Jatta,0.1,0.1,GAM,0.19758507135016468
,2526,Hamburger SV,Damion Downs,0.0,0.0,USA,0.0
,2526,Hamburger SV,Daniel Elfadli,0.0,0.0,LBY,0.0
,2526,Hamburger SV,Daniel Heuer Fernandes,0.0,0.0,POR,0.0
,2526,Hamburger SV,Fabio Vieira,0.29,0.2,POR,0.4895738893925657
,2526,Hamburger SV,Giorgi Gocholeishvili,0.0,0.19,GEO,0.19148936170212766
,2526,Hamburger SV,Jean-Luc Dompé,0.24,0.0,FRA,0.23725834797891038
,2526,Hamburger SV,Jordan Torunarigha,0.0,0.0,GER,0.0
,2526,Hamburger SV,Luka Vušković,0.22,0.0,CRO,0.22113022113022113
,2526,Hamburger SV,Miro Muheim,0.0,0.15,SUI,0.14784394250513347
,2526,Hamburger SV,Nicolai Remberg,0.0,0.06,GER,0.0625
,2526,Hamburger SV,Nicolás Capaldo,0.04,0.13,ARG,0.17991004497751123
,2526,Hamburger SV,Philip Otele,0.19,0.19,NGA,0.38216560509554137
,2526,Hamburger SV,Ransford Königsdörffer,0.19,0.04,GHA,0.23185916702447404
,2526,Hamburger SV,Rayan Philippe,0.35,0.0,FRA,0.35019455252918286
,2526,Hamburger SV,Robert Glatzel,0.44,0.29,GER,0.7352941176470589
,2526,Hamburger SV,Warmed Omari,0.0,0.06,COM,0.05607476635514019
,2526,Hamburger SV,William Mikelbrencis,0.0,0.26,FRA,0.2623906705539359
,2526,Heidenheim,Adrian Beck,0.1,0.1,GER,0.20737327188940094
,2526,Heidenheim,Arijon Ibrahimović,0.08,0.17,GER,0.24896265560165973
,2526,Heidenheim,Benedikt Gimber,0.0,0.0,GER,0.0
,2526,Heidenheim,Budu Zivzivadze,0.47,0.0,GEO,0.4728546409807356
,2526,Heidenheim,Diant Ramaj,0.0,0.03,GER,0.03225806451612903
,2526,Heidenheim,Eren Dinkçi,0.24,0.08,GER,0.3183023872679045
,2526,Heidenheim,Hannes Behrens,0.07,0.14,GER,0.20485584218512898
,2526,Heidenheim,Jan Schöppner,0.12,0.12,GER,0.23978685612788633
,2526,Heidenheim,Jonas Föhrenbach,0.04,0.04,GER,0.07741935483870968
,2526,Heidenheim,Julian Niehues,0.2,0.0,GER,0.19522776572668113
,2526,Heidenheim,Luca Kerber,0.26,0.0,GER,0.26392961876832843
,2526,Heidenheim,Marnon Busch,0.05,0.23,GER,0.2819843342036553
,2526,Heidenheim,Marvin Pieringer,0.22,0.05,GER,0.27272727272727276
,2526,Heidenheim,Mathias Honsak,0.14,0.07,AUT,0.21617293835068055
,2526,Heidenheim,Mikkel Kaufmann,0.17,0.17,DEN,0.33519553072625696
,2526,Heidenheim,Niklas Dorsch,0.0,0.04,GER,0.03985828166519043
,2526,Heidenheim,Omar Traoré,0.0,0.12,GER,0.11992005329780148
,2526,Heidenheim,Patrick Mainka,0.06,0.06,GER,0.11764705882352941
,2526,Heidenheim,Sirlord Conteh,0.29,0.14,GER,0.432
,2526,Heidenheim,Stefan Schimmer,0.55,0.11,GER,0.6585365853658537
,2526,Heidenheim,Tim Siersleben,0.0,0.0,GER,0.0
,2526,Hoffenheim,Albian Hajdari,0.04,0.07,KVX,0.11092851273623665
,2526,Hoffenheim,Alexander Prass,0.21,0.14,AUT,0.3440366972477064
,2526,Hoffenheim,Andrej Kramarić,0.57,0.24,CRO,0.8155867693701858
,2526,Hoffenheim,Bazoumana Touré,0.19,0.35,CIV,0.5459272097053726
,2526,Hoffenheim,Bernardo,0.0,0.0,BRA,0.0
,2526,Hoffenheim,Fisnik Asllani,0.39,0.27,KVX,0.6552462526766596
,2526,Hoffenheim,Grischa Prömel,0.36,0.1,GER,0.4607508532423208
,2526,Hoffenheim,Leon Avdullahu,0.0,0.03,KVX,0.03175723359209598
,2526,Hoffenheim,Oliver Baumann,0.0,0.0,GER,0.0
,2526,Hoffenheim,Ozan Kabak,0.21,0.0,TUR,0.20559680182752713
,2526,Hoffenheim,Robin Hranáč,0.04,0.0,CZE,0.039982230119946685
,2526,Hoffenheim,Tim Lemperle,0.37,0.09,GER,0.4629629629629629
,2526,Hoffenheim,Vladimír Coufal,0.03,0.24,CZE,0.2689243027888446
,2526,Hoffenheim,Wouter Burger,0.15,0.19,NED,0.3333333333333333
,2526,Köln,Alessio Castro-Montes,0.13,0.4,BEL,0.5357142857142857
,2526,Köln,Cenk Özkacar,0.0,0.0,TUR,0.0
,2526,Köln,Denis Huseinbasic,0.0,0.0,BIH,0.0
,2526,Köln,Eric Martel,0.07,0.07,GER,0.1406799531066823
,2526,Köln,Jahmai Simpson-Pusey,0.0,0.0,ENG,0.0
,2526,Köln,Jakub Kamiński,0.21,0.09,POL,0.29840848806366044
,2526,Köln,Jan Thielmann,0.18,0.06,GER,0.23376623376623376
,2526,Köln,Joël Schmied,0.0,0.0,SUI,0.0
,2526,Köln,Kristoffer Lund,0.0,0.08,USA,0.07908611599297012
,2526,Köln,Linton Maina,0.18,0.0,GER,0.1759530791788856
,2526,Köln,Luca Waldschmidt,0.66,0.53,GER,1.1964549483013294
,2526,Köln,Marius Bülter,0.28,0.23,GER,0.5072010018785222
,2526,Köln,Marvin Schwäbe,0.0,0.0,GER,0.0
,2526,Köln,Ragnar Ache,0.37,0.21,GER,0.5762514551804424
,2526,Köln,Rav van den Berg,0.0,0.08,NED,0.07957559681697612
,2526,Köln,Said El Mala,0.6,0.18,GER,0.7822085889570551
,2526,Köln,Sebastian Sebulonsen,0.0,0.0,NOR,0.0
,2526,Köln,Timo Hübers,0.0,0.0,GER,0.0
,2526,Köln,Tom Krauß,0.0,0.1,GER,0.10112359550561797
,2526,Köln,Ísak Jóhannesson,0.05,0.1,ISL,0.14925373134328357
,2526,Leverkusen,Aleix García,0.1,0.27,ESP,0.3712035995500563
,2526,Leverkusen,Arthur,0.08,0.24,BRA,0.31690140845070425
,2526,Leverkusen,Christian Kofane,0.36,0.29,CMR,0.6537530266343825
,2526,Leverkusen,Edmond Tapsoba,0.17,0.1,BFA,0.2796116504854369
,2526,Leverkusen,Ernest Poku,0.3,0.3,NED,0.6072874493927126
,2526,Leverkusen,Exequiel Palacios,0.0,0.08,ARG,0.0818926296633303
,2526,Leverkusen,Ezequiél Fernández,0.0,0.09,ARG,0.09146341463414634
,2526,Leverkusen,Ibrahim Maza,0.15,0.19,ALG,0.34072471606273663
,2526,Leverkusen,Janis Blaswich,0.0,0.0,GER,0.0
,2526,Leverkusen,Jarell Quansah,0.16,0.0,ENG,0.156589821661592
,2526,Leverkusen,Jonas Hofmann,0.18,0.18,GER,0.35538005923000987
,2526,Leverkusen,Loïc Bade,0.0,0.0,FRA,0.0
,2526,Leverkusen,Lucas Vázquez,0.19,0.37,ESP,0.5613305613305614
,2526,Leverkusen,Malik Tillman,0.32,0.05,USA,0.3763440860215054
,2526,Leverkusen,Mark Flekken,0.0,0.0,NED,0.0
,2526,Leverkusen,Martin Terrier,0.53,0.13,FRA,0.6666666666666666
,2526,Leverkusen,Montrell Culbreath,0.12,0.0,GER,0.12228260869565219
,2526,Leverkusen,Nathan Tella,0.1,0.41,NGA,0.5184331797235023
,2526,Leverkusen,Patrik Schick,0.72,0.14,CZE,0.8601609657947686
,2526,Leverkusen,Robert Andrich,0.07,0.0,GER,0.07069913589945012
,2526,Leverkusen,Álex Grimaldo,0.29,0.25,ESP,0.53550178500595
,2526,Mainz 05,Andreas Hanche-Olsen,0.0,0.11,NOR,0.10575793184488837
,2526,Mainz 05,Anthony Caci,0.0,0.0,FRA,0.0
,2526,Mainz 05,Armindo Sieb,0.33,0.0,GER,0.3284671532846716
,2526,Mainz 05,Arnaud Nordin,0.0,0.0,FRA,0.0
,2526,Mainz 05,Benedict Hollerbach,0.1,0.31,GER,0.41284403669724773
,2526,Mainz 05,Daniel Batz,0.0,0.0,GER,0.0
,2526,Mainz 05,Danny da Costa,0.07,0.1,GER,0.16697588126159554
,2526,Mainz 05,Dominik Kohr,0.08,0.0,GER,0.07698887938408897
,2526,Mainz 05,Kacper Potulski,0.08,0.0,POL,0.08450704225352113
,2526,Mainz 05,Kaishu Sano,0.03,0.06,JPN,0.08826413860738803
